dataset,epoch,valid_f1,test_f1,best_test_f1
tv_and_film,4,0.9232067510548524,0.9244211446046309,0.9244211446046309
tv_and_film,5,0.9226869455006337,0.9236807675534234,0.9244211446046309
tv_and_film,6,0.9243697478991596,0.9282920469361148,0.9282920469361148
tv_and_film,7,0.9186241610738255,0.9287257019438446,0.9282920469361148
tv_and_film,8,0.9316928298684768,0.9281332164767748,0.9281332164767748
tv_and_film,9,0.9304123711340206,0.9375830013280214,0.9281332164767748
tv_and_film,10,0.9305496378355348,0.9379912663755459,0.9281332164767748
tv_and_film,11,0.9367640645442651,0.9406514948683624,0.9406514948683624
tv_and_film,12,0.944563816072196,0.9469530907496712,0.9469530907496712
tv_and_film,13,0.9481798715203426,0.9480633802816901,0.9480633802816901
tv_and_film,14,0.9495906936665232,0.9515770768547311,0.9515770768547311
tv_and_film,15,0.9519725557461406,0.947136563876652,0.947136563876652
tv_and_film,16,0.9536878216123498,0.9514134275618374,0.9514134275618374
tv_and_film,17,0.9486301369863014,0.9509933774834437,0.9514134275618374
tv_and_film,18,0.9505801461108724,0.9512843224092117,0.9514134275618374
tv_and_film,19,0.9497206703910615,0.9513274336283186,0.9514134275618374
tv_and_film,20,0.9497206703910615,0.9513274336283186,0.9514134275618374
football,1,0.3750469748214957,0.36972232788132364,0.36972232788132364
football,2,0.5304454434000817,0.5151893466500208,0.5151893466500208
football,3,0.48821457599566515,0.48595582219798206,0.5151893466500208
football,4,0.4787784679089027,0.47414019427671306,0.5151893466500208
football,5,0.5051608986035215,0.505521472392638,0.5151893466500208
football,6,0.5075206210577389,0.4959183673469388,0.5151893466500208
football,7,0.01959605674440972,0.01954707041500391,0.5151893466500208
football,8,0.01959605674440972,0.01954707041500391,0.5151893466500208
football,9,0.01959605674440972,0.01954707041500391,0.5151893466500208
football,10,0.01959605674440972,0.01954707041500391,0.5151893466500208
football,11,0.5932141554177308,0.5744996293550779,0.5744996293550779
football,12,0.5853319429961766,0.5663464959089293,0.5744996293550779
football,13,0.611957796014068,0.590818363273453,0.590818363273453
football,14,0.602182913059842,0.5787072243346008,0.590818363273453
football,15,0.6018136850783182,0.5739421868454126,0.590818363273453
football,16,0.6186504927975739,0.6006120887528691,0.6006120887528691
football,17,0.6167999999999999,0.5980784627702161,0.6006120887528691
football,18,0.6264210113680909,0.6054901960784314,0.6054901960784314
football,19,0.6304098046725393,0.6047765793528506,0.6047765793528506
football,20,0.6316196366447623,0.607350096711799,0.607350096711799
